. Sequence file : [Hominid_AHSG.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.05562   0.59006   0.30630  -0.95197  
  #55	4   	-13706.58238	Yes        	4        	2.375    	0.195    	 0.27949   0.23863   0.24508   0.23680	-0.91153   0.16859   0.69781   0.04513  
      	     	          	           	          	           	             	                                      	 0.19746  -0.98536   0.12043   0.66747  
      	     	          	           	          	           	             	                                      	 0.79576   0.11726  -1.14650   0.23349  
      	     	          	           	          	           	             	                                      	 0.05327   0.67262   0.24165  -0.96754  
  #56	4   	-13749.59602	Yes        	4        	2.517    	0.206    	 0.28222   0.22638   0.24909   0.24231	-0.94354   0.17521   0.66296   0.10537  
      	     	          	           	          	           	             	                                      	 0.21842  -0.99695   0.13350   0.64503  
      	     	          	           	          	           	             	                                      	 0.75112   0.12133  -1.10319   0.23074  
      	     	          	           	          	           	             	                                      	 0.12272   0.60261   0.23719  -0.96253  
  #57	4   	-13662.60233	Yes        	4        	618.416    	0.195    	 0.26751   0.23579   0.24730   0.24940	-1.01414   0.20739   0.73487   0.07187  
      	     	          	           	          	           	             	                                      	 0.23529  -1.01667   0.13853   0.64285  
      	     	          	           	          	           	             	                                      	 0.79492   0.13209  -1.10681   0.17981  
      	     	          	           	          	           	             	                                      	 0.07709   0.60778   0.17829  -0.86316  
  #58	4   	-13648.14031	Yes        	4        	2.320    	0.205    	 0.28013   0.23808   0.23903   0.24276	-0.82545   0.15949   0.59141   0.07455  
      	     	          	           	          	           	             	                                      	 0.18765  -1.10986   0.16780   0.75440  
      	     	          	           	          	           	             	                                      	 0.69308   0.16713  -1.06609   0.20587  
      	     	          	           	          	           	             	                                      	 0.08603   0.73985   0.20271  -1.02860  
  #59	4   	-13823.35773	Yes        	4        	1.255    	0.202    	 0.27849   0.23792   0.24044   0.24314	-0.83314   0.10744   0.67410   0.05159  
      	     	          	           	          	           	             	                                      	 0.12576  -0.99603   0.16278   0.70749  
      	     	          	           	          	           	             	                                      	 0.78080   0.16108  -1.19524   0.25336  
      	     	          	           	          	           	             	                                      	 0.05909   0.69230   0.25054  -1.00194  
  #60	4   	-13699.85240	Yes        	4        	382.584    	0.201    	 0.27498   0.22916   0.25022   0.24563	-0.86276   0.14821   0.68088   0.03367  
      	     	          	           	          	           	             	                                      	 0.17785  -1.09035   0.21848   0.69402  
      	     	          	           	          	           	             	                                      	 0.74825   0.20009  -1.16274   0.21439  
      	     	          	           	          	           	             	                                      	 0.03769   0.64748   0.21840  -0.90357  
  #61	4   	-13585.19270	Yes        	4        	618.416    	0.183    	 0.27720   0.23518   0.24770   0.23992	-0.89209   0.18406   0.63082   0.07720  
      	     	          	           	          	           	             	                                      	 0.21695  -1.06646   0.18433   0.66518  
      	     	          	           	          	           	             	                                      	 0.70596   0.17502  -1.09463   0.21365  
      	     	          	           	          	           	             	                                      	 0.08920   0.65206   0.22058  -0.96184  
  #62	4   	-13796.06585	Yes        	4        	382.584    	0.201    	 0.28141   0.22466   0.24467   0.24926	-0.89953   0.16537   0.67644   0.05772  
      	     	          	           	          	           	             	                                      	 0.20714  -1.08020   0.18783   0.68523  
      	     	          	           	          	           	             	                                      	 0.77800   0.17247  -1.15778   0.20732  
      	     	          	           	          	           	             	                                      	 0.06517   0.61760   0.20350  -0.88627  
  #63	4   	-13581.45203	Yes        	4        	1.572    	0.203    	 0.28111   0.22680   0.25076   0.24133	-0.84337   0.14304   0.65578   0.04455  
      	     	          	           	          	           	             	                                      	 0.17729  -1.06772   0.19374   0.69669  
      	     	          	           	          	           	             	                                      	 0.73515   0.17523  -1.15353   0.24315  
      	     	          	           	          	           	             	                                      	 0.05190   0.65473   0.25265  -0.95928  
  #64	4   	-13601.33172	Yes        	4        	382.584    	0.201    	 0.27623   0.22364   0.25257   0.24756	-0.91174   0.16528   0.68537   0.06109  
      	     	          	           	          	           	             	                                      	 0.20415  -1.02355   0.18356   0.63585  
      	     	          	           	          	           	             	                                      	 0.74958   0.16253  -1.16905   0.25694  
      	     	          	           	          	           	             	                                      	 0.06817   0.57442   0.26214  -0.90473  
  #65	4   	-13778.91116	Yes        	4        	618.416    	0.183    	 0.27955   0.22865   0.24599   0.24581	-0.97011   0.15359   0.77243   0.04409  
