. Sequence file : [Hominid_ENAM.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #57	4   	-28872.98522	Yes        	4        	1.275    	0.202    	 0.30988   0.20256   0.18507   0.30249	-0.86444   0.09612   0.65880   0.10953  
      	     	          	           	          	           	             	                                      	 0.14704  -1.15062   0.21251   0.79107  
      	     	          	           	          	           	             	                                      	 1.10308   0.23259  -1.49152   0.15585  
      	     	          	           	          	           	             	                                      	 0.11220   0.52973   0.09535  -0.73729  
  #58	4   	-28784.87758	Yes        	4        	1.520    	0.203    	 0.31930   0.20005   0.18344   0.29720	-0.84129   0.08783   0.63759   0.11587  
      	     	          	           	          	           	             	                                      	 0.14018  -1.13345   0.24971   0.74356  
      	     	          	           	          	           	             	                                      	 1.10980   0.27233  -1.56021   0.17808  
      	     	          	           	          	           	             	                                      	 0.12448   0.50051   0.10992  -0.73491  
  #59	4   	-28870.53720	Yes        	4        	0.368    	0.188    	 0.31252   0.20346   0.18641   0.29761	-0.80880   0.09041   0.60602   0.11236  
      	     	          	           	          	           	             	                                      	 0.13888  -1.14042   0.17544   0.82611  
      	     	          	           	          	           	             	                                      	 1.01602   0.19149  -1.44065   0.23314  
      	     	          	           	          	           	             	                                      	 0.11799   0.56476   0.14603  -0.82878  
  #60	4   	-28912.00481	Yes        	4        	0.410    	0.189    	 0.31677   0.19695   0.17936   0.30692	-0.77957   0.10053   0.55556   0.12348  
      	     	          	           	          	           	             	                                      	 0.16170  -1.22186   0.19611   0.86406  
      	     	          	           	          	           	             	                                      	 0.98119   0.21534  -1.44326   0.24673  
      	     	          	           	          	           	             	                                      	 0.12745   0.55446   0.14419  -0.82610  
  #61	4   	-28881.60502	Yes        	4        	0.373    	0.188    	 0.32041   0.19452   0.19136   0.29370	-0.82257   0.10352   0.62948   0.08957  
      	     	          	           	          	           	             	                                      	 0.17052  -1.19387   0.27350   0.74986  
      	     	          	           	          	           	             	                                      	 1.05400   0.27801  -1.52730   0.19529  
      	     	          	           	          	           	             	                                      	 0.09772   0.49664   0.12724  -0.72160  
  #62	4   	-28983.97180	Yes        	4        	0.432    	0.190    	 0.31014   0.20284   0.18380   0.30322	-0.89297   0.13809   0.62617   0.12871  
      	     	          	           	          	           	             	                                      	 0.21113  -1.14898   0.19749   0.74036  
      	     	          	           	          	           	             	                                      	 1.05658   0.21795  -1.45311   0.17858  
      	     	          	           	          	           	             	                                      	 0.13165   0.49526   0.10825  -0.73516  
  #63	4   	-28808.62834	Yes        	4        	0.485    	0.192    	 0.31460   0.20593   0.18463   0.29484	-0.82883   0.10453   0.62593   0.09837  
      	     	          	           	          	           	             	                                      	 0.15970  -1.12435   0.19357   0.77108  
      	     	          	           	          	           	             	                                      	 1.06654   0.21590  -1.50234   0.21989  
      	     	          	           	          	           	             	                                      	 0.10496   0.53856   0.13770  -0.78122  
  #64	4   	-28646.74295	Yes        	4        	0.869    	0.199    	 0.31355   0.20306   0.18457   0.29883	-0.87184   0.12349   0.62305   0.12529  
      	     	          	           	          	           	             	                                      	 0.19068  -1.14309   0.21418   0.73823  
      	     	          	           	          	           	             	                                      	 1.05846   0.23564  -1.47421   0.18011  
      	     	          	           	          	           	             	                                      	 0.13146   0.50164   0.11124  -0.74435  
  #65	4   	-28492.74956	Yes        	4        	0.472    	0.193    	 0.31158   0.19910   0.19005   0.29927	-0.85054   0.09490   0.62875   0.12689  
      	     	          	           	          	           	             	                                      	 0.14851  -1.15867   0.20946   0.80070  
      	     	          	           	          	           	             	                                      	 1.03084   0.21944  -1.42844   0.17816  
      	     	          	           	          	           	             	                                      	 0.13211   0.53271   0.11314  -0.77796  
