. Sequence file : [Hominid_COL1A2.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.20034  -1.25901   0.17225   0.88642  
      	     	          	           	          	           	             	                                      	 0.99103   0.17692  -1.34057   0.17262  
      	     	          	           	          	           	             	                                      	 0.13187   0.52857   0.10022  -0.76066  
  #56	4   	-57621.03373	Yes        	4        	1.023    	0.200    	 0.30625   0.18892   0.18361   0.32122	-0.83506   0.10169   0.58814   0.14522  
      	     	          	           	          	           	             	                                      	 0.16485  -1.28201   0.18875   0.92841  
      	     	          	           	          	           	             	                                      	 0.98095   0.19420  -1.35604   0.18089  
      	     	          	           	          	           	             	                                      	 0.13845   0.54603   0.10340  -0.78788  
  #57	4   	-57352.00326	Yes        	4        	1.578    	0.203    	 0.30676   0.18868   0.18393   0.32063	-0.82308   0.10465   0.56841   0.15002  
      	     	          	           	          	           	             	                                      	 0.17014  -1.30118   0.19031   0.94073  
      	     	          	           	          	           	             	                                      	 0.94800   0.19522  -1.32867   0.18545  
      	     	          	           	          	           	             	                                      	 0.14353   0.55358   0.10638  -0.80350  
  #58	4   	-57829.92426	Yes        	4        	0.997    	0.200    	 0.30276   0.18897   0.18468   0.32360	-0.86966   0.10743   0.63745   0.12479  
      	     	          	           	          	           	             	                                      	 0.17212  -1.22248   0.21988   0.83049  
      	     	          	           	          	           	             	                                      	 1.04500   0.22498  -1.47694   0.20695  
      	     	          	           	          	           	             	                                      	 0.11675   0.48497   0.11811  -0.71983  
  #59	4   	-57610.86812	Yes        	4        	0.958    	0.200    	 0.30510   0.19031   0.18397   0.32062	-0.84456   0.11705   0.58300   0.14451  
      	     	          	           	          	           	             	                                      	 0.18765  -1.25728   0.19332   0.87630  
      	     	          	           	          	           	             	                                      	 0.96688   0.19999  -1.37758   0.21071  
      	     	          	           	          	           	             	                                      	 0.13751   0.52014   0.12090  -0.77855  
  #60	4   	-57605.39551	Yes        	4        	0.816    	0.198    	 0.30587   0.18785   0.18364   0.32263	-0.80103   0.11009   0.56818   0.12276  
      	     	          	           	          	           	             	                                      	 0.17926  -1.34268   0.25193   0.91150  
      	     	          	           	          	           	             	                                      	 0.94636   0.25770  -1.40247   0.19841  
      	     	          	           	          	           	             	                                      	 0.11638   0.53071   0.11293  -0.76002  
