. Sequence file : [Hominid_ODAM.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.84121   0.20869  -1.31970   0.26979  
      	     	          	           	          	           	             	                                      	 0.11055   0.57113   0.12507  -0.80675  
  #49	4   	-14280.18932	Yes        	4        	0.793    	0.198    	 0.33445   0.17217   0.15552   0.33786	-0.68758   0.15509   0.44144   0.09105  
      	     	          	           	          	           	             	                                      	 0.30128  -1.61933   0.24213   1.07592  
      	     	          	           	          	           	             	                                      	 0.94931   0.26805  -1.49453   0.27717  
      	     	          	           	          	           	             	                                      	 0.09013   0.54829   0.12759  -0.76601  
  #50	4   	-14127.18718	Yes        	4        	0.355    	0.206    	 0.34592   0.16884   0.15565   0.32959	-0.67936   0.18740   0.40329   0.08868  
      	     	          	           	          	           	             	                                      	 0.38395  -1.67514   0.21693   1.07426  
      	     	          	           	          	           	             	                                      	 0.89628   0.23530  -1.43348   0.30190  
      	     	          	           	          	           	             	                                      	 0.09307   0.55031   0.14258  -0.78596  
  #51	4   	-14097.75577	Yes        	4        	0.265    	0.279    	 0.33786   0.17155   0.15755   0.33304	-0.72583   0.19633   0.43058   0.09892  
      	     	          	           	          	           	             	                                      	 0.38667  -1.63526   0.18946   1.05912  
      	     	          	           	          	           	             	                                      	 0.92338   0.20630  -1.38720   0.25752  
      	     	          	           	          	           	             	                                      	 0.10035   0.54557   0.12182  -0.76775  
  #52	4   	-14222.61474	Yes        	4        	0.346    	0.209    	 0.33506   0.17044   0.15466   0.33984	-0.68076   0.19003   0.39442   0.09631  
      	     	          	           	          	           	             	                                      	 0.37358  -1.65518   0.19907   1.08253  
      	     	          	           	          	           	             	                                      	 0.85451   0.21938  -1.41964   0.34575  
      	     	          	           	          	           	             	                                      	 0.09495   0.54290   0.15734  -0.79520  
  #53	4   	-14102.90598	Yes        	4        	0.260    	0.323    	 0.33790   0.16489   0.16008   0.33712	-0.65066   0.20680   0.38487   0.05899  
      	     	          	           	          	           	             	                                      	 0.42376  -1.85215   0.19603   1.23235  
      	     	          	           	          	           	             	                                      	 0.81237   0.20192  -1.29296   0.27867  
      	     	          	           	          	           	             	                                      	 0.05912   0.60277   0.13233  -0.79422  
  #54	4   	-14121.15836	Yes        	4        	0.348    	0.261    	 0.33502   0.17304   0.15383   0.33811	-0.70126   0.19060   0.43125   0.07941  
      	     	          	           	          	           	             	                                      	 0.36901  -1.65653   0.20342   1.08409  
      	     	          	           	          	           	             	                                      	 0.93921   0.22882  -1.44285   0.27482  
      	     	          	           	          	           	             	                                      	 0.07868   0.55482   0.12503  -0.75853  
  #55	4   	-13988.61518	Yes        	4        	0.602    	0.194    	 0.34553   0.17574   0.15239   0.32634	-0.67254   0.16616   0.42667   0.07971  
      	     	          	           	          	           	             	                                      	 0.32670  -1.59887   0.19328   1.07889  
      	     	          	           	          	           	             	                                      	 0.96745   0.22290  -1.47939   0.28904  
      	     	          	           	          	           	             	                                      	 0.08440   0.58099   0.13497  -0.80036  
  #56	4   	-14066.75605	Yes        	4        	0.367    	0.206    	 0.33580   0.15971   0.16228   0.34221	-0.73718   0.15627   0.47280   0.10811  
      	     	          	           	          	           	             	                                      	 0.32857  -1.63191   0.23518   1.06815  
      	     	          	           	          	           	             	                                      	 0.97838   0.23146  -1.48282   0.27299  
