. Sequence file : [Hominid_MMP20.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.15969  -1.29211   0.21357   0.91885  
      	     	          	           	          	           	             	                                      	 0.84148   0.21272  -1.27119   0.21699  
      	     	          	           	          	           	             	                                      	 0.11963   0.55688   0.13203  -0.80854  
  #50	4   	-80795.69344	Yes        	4        	1.918    	0.204    	 0.28298   0.19874   0.19800   0.32028	-0.82040   0.12023   0.59177   0.10840  
      	     	          	           	          	           	             	                                      	 0.17119  -1.27295   0.22636   0.87539  
      	     	          	           	          	           	             	                                      	 0.84577   0.22722  -1.31985   0.24686  
      	     	          	           	          	           	             	                                      	 0.09577   0.54320   0.15261  -0.79158  
  #51	4   	-80488.44521	Yes        	4        	1.531    	0.202    	 0.28781   0.19787   0.19419   0.32014	-0.77574   0.13127   0.53762   0.10685  
      	     	          	           	          	           	             	                                      	 0.19094  -1.36268   0.20626   0.96548  
      	     	          	           	          	           	             	                                      	 0.79682   0.21016  -1.23814   0.23116  
      	     	          	           	          	           	             	                                      	 0.09606   0.59673   0.14022  -0.83301  
  #52	4   	-80855.65057	Yes        	4        	1.910    	0.203    	 0.28326   0.20042   0.19788   0.31844	-0.82820   0.13035   0.56711   0.13074  
      	     	          	           	          	           	             	                                      	 0.18423  -1.29090   0.20393   0.90274  
      	     	          	           	          	           	             	                                      	 0.81181   0.20655  -1.23870   0.22034  
      	     	          	           	          	           	             	                                      	 0.11630   0.56818   0.13692  -0.82140  
  #53	4   	-80817.33190	Yes        	4        	1.192    	0.202    	 0.28224   0.19642   0.19874   0.32260	-0.81827   0.11907   0.58330   0.11590  
      	     	          	           	          	           	             	                                      	 0.17109  -1.31790   0.19983   0.94698  
      	     	          	           	          	           	             	                                      	 0.82840   0.19750  -1.24623   0.22033  
      	     	          	           	          	           	             	                                      	 0.10140   0.57660   0.13574  -0.81374  
  #54	4   	-80986.35471	Yes        	4        	1.252    	0.202    	 0.28657   0.19691   0.19731   0.31922	-0.80613   0.13518   0.56104   0.10991  
      	     	          	           	          	           	             	                                      	 0.19674  -1.33608   0.20178   0.93757  
      	     	          	           	          	           	             	                                      	 0.81483   0.20137  -1.24247   0.22627  
      	     	          	           	          	           	             	                                      	 0.09867   0.57833   0.13986  -0.81686  
  #55	4   	-80862.10457	Yes        	4        	1.882    	0.203    	 0.28530   0.20024   0.19800   0.31646	-0.82163   0.12257   0.56334   0.13572  
      	     	          	           	          	           	             	                                      	 0.17463  -1.27600   0.20035   0.90102  
      	     	          	           	          	           	             	                                      	 0.81169   0.20262  -1.24184   0.22753  
      	     	          	           	          	           	             	                                      	 0.12236   0.57012   0.14236  -0.83484  
  #56	4   	-80454.97242	Yes        	4        	0.858    	0.200    	 0.28702   0.19649   0.19266   0.32383	-0.81619   0.13840   0.53874   0.13905  
      	     	          	           	          	           	             	                                      	 0.20217  -1.35279   0.21656   0.93406  
      	     	          	           	          	           	             	                                      	 0.80260   0.22086  -1.22926   0.20580  
      	     	          	           	          	           	             	                                      	 0.12324   0.56677   0.12244  -0.81245  
  #57	4   	-80499.45256	Yes        	4        	0.815    	0.200    	 0.28407   0.19821   0.19942   0.31829	-0.83103   0.14239   0.56630   0.12234  
      	     	          	           	          	           	             	                                      	 0.20407  -1.31048   0.18189   0.92451  
      	     	          	           	          	           	             	                                      	 0.80667   0.18079  -1.21121   0.22375  
      	     	          	           	          	           	             	                                      	 0.10919   0.57574   0.14019  -0.82512  
  #58	4   	-80377.98609	Yes        	4        	1.587    	0.204    	 0.28601   0.19905   0.19739   0.31755	-0.81535   0.13814   0.55689   0.12032  
      	     	          	           	          	           	             	                                      	 0.19850  -1.31899   0.22108   0.89941  
      	     	          	           	          	           	             	                                      	 0.80689   0.22294  -1.25159   0.22176  
      	     	          	           	          	           	             	                                      	 0.10836   0.56377   0.13784  -0.80997  
  #59	4   	-80529.32890	Yes        	4        	1.601    	0.202    	 0.28471   0.19776   0.19962   0.31791	-0.80878   0.11414   0.59339   0.10125  
      	     	          	           	          	           	             	                                      	 0.16432  -1.29745   0.21334   0.91979  
      	     	          	           	          	           	             	                                      	 0.84631   0.21134  -1.28633   0.22868  
      	     	          	           	          	           	             	                                      	 0.09068   0.57216   0.14360  -0.80643  
  #60	4   	-80547.93432	Yes        	4        	1.164    	0.202    	 0.27952   0.19908   0.19913   0.32227	-0.82294   0.15483   0.55758   0.11053  
      	     	          	           	          	           	             	                                      	 0.21739  -1.35128   0.20933   0.92456  
      	     	          	           	          	           	             	                                      	 0.78268   0.20929  -1.21410   0.22213  
      	     	          	           	          	           	             	                                      	 0.09586   0.57115   0.13725  -0.80427  
  #61	4   	-80569.53154	Yes        	4        	1.748    	0.185    	 0.28536   0.19959   0.19701   0.31805	-0.77664   0.15010   0.52146   0.10508  
      	     	          	           	          	           	             	                                      	 0.21461  -1.38912   0.20366   0.97084  
      	     	          	           	          	           	             	                                      	 0.75532   0.20633  -1.18481   0.22316  
      	     	          	           	          	           	             	                                      	 0.09428   0.60924   0.13823  -0.84175  
  #62	4   	-80409.77223	Yes        	4        	1.053    	0.200    	 0.28719   0.19766   0.19797   0.31718	-0.79082   0.11775   0.55951   0.11356  
      	     	          	           	          	           	             	                                      	 0.17109  -1.33601   0.19490   0.97001  
      	     	          	           	          	           	             	                                      	 0.81168   0.19460  -1.22161   0.21534  
      	     	          	           	          	           	             	                                      	 0.10283   0.60447   0.13440  -0.84170  
  #63	4   	-80562.28383	Yes        	4        	0.710    	0.200    	 0.28469   0.19821   0.19868   0.31842	-0.83283   0.13617   0.57794   0.11872  
      	     	          	           	          	           	             	                                      	 0.19558  -1.31515   0.18561   0.93396  
      	     	          	           	          	           	             	                                      	 0.82812   0.18517  -1.21961   0.20632  
      	     	          	           	          	           	             	                                      	 0.10615   0.58137   0.12874  -0.81626  
  #64	4   	-80528.18559	Yes        	4        	0.688    	0.198    	 0.28115   0.19831   0.19775   0.32279	-0.79005   0.10598   0.56269   0.12138  
      	     	          	           	          	           	             	                                      	 0.15025  -1.30818   0.16905   0.98888  
      	     	          	           	          	           	             	                                      	 0.79999   0.16953  -1.21352   0.24400  
      	     	          	           	          	           	             	                                      	 0.10572   0.60753   0.14948  -0.86272  
  #65	4   	-80451.68550	Yes        	4        	0.928    	0.199    	 0.28353   0.19764   0.20083   0.31801	-0.80944   0.12534   0.57826   0.10584  
      	     	          	           	          	           	             	                                      	 0.17980  -1.31770   0.19540   0.94249  
      	     	          	           	          	           	             	                                      	 0.81639   0.19230  -1.23580   0.22710  
      	     	          	           	          	           	             	                                      	 0.09436   0.58576   0.14342  -0.82354  
